Cust_ID,Buy_product,Name,Newsletter_Subscription,Year_Birth,Membership,Preferred_Game_Genre,FidelityPoints,S1_GameplayExperience,S2_GameMechanics,S3_GameBalance,S4_GameLength,S5_MaterialQuality,S6_ValueForPrice,S7_Artwork_Design,S8_ThemeIntegration,S9_PlayerIteration,S10_LevelAdjust,S11_RuleClarity,S12_StrategicThinking,S13_ReplayValue,S14_Recommendation
1750,1,Mr. John Brown,yes,1974.0,Premium,Strategy,6775,0,4,0,3,5,4,4,2,2,2,2,5,2,3
1751,1,Ms. Michelle Wilson,yes,1982.0,Non-Premium,Party,5124,4,4,4,4,5,5,5,4,4,4,4,4,4,5
1752,1,Ms. Barbara May,yes,1966.0,Non-Premium,Party,5980,5,5,5,5,4,4,5,4,4,4,4,5,4,3
1753,0,Ms. Katrina Wood,no,1988.0,Premium,Party,5624,1,0,1,2,2,1,3,2,3,2,5,4,5,2
1754,1,Mr. Andres Williams,yes,1971.0,Premium,Strategy,5298,2,2,1,2,5,4,5,2,2,2,2,3,2,3
1755,0,Mr. Michael Nguyen,yes,1975.0,Non-Premium,Party,4902,3,4,3,4,3,3,3,3,5,3,5,3,4,3
1756,1,Mr. Clayton Ramos,no,1999.0,Premium,Party,6116,0,3,0,3,4,0,4,4,5,4,4,5,3,4
1757,0,Mr. Edward Barnett,y,1960.0,Non-Premium,Party,4670,2,2,1,2,4,1,2,4,1,4,2,4,3,4
1758,1,Ms. Lisa Craig,yes,2003.0,Non-Premium,Party,5550,2,2,2,2,5,4,5,4,4,4,4,5,4,5
1759,0,Ms. Barbara Atkinson,yes,1987.0,Premium,Strategy,5552,1,1,1,1,3,4,3,1,1,1,1,4,1,4
1760,0,Mr. Ronald Franco,yes,1958.0,Non-Premium,Party,4472,3,4,3,4,3,3,3,3,4,5,4,3,4,3
1761,1,Ms. Mrs. Shannon Bonilla,yes,1981.0,Non-Premium,Party,3397,2,2,2,2,3,4,5,5,5,5,5,4,5,4
1762,0,Ms. Alisha Fitzgerald,yes,1953.0,Non-Premium,Party,5905,4,5,4,3,4,5,5,4,4,4,4,3,4,4
1763,1,Ms. Catherine Black,yes,1981.0,Premium,Strategy,6524,2,2,2,2,5,4,5,5,5,5,5,4,5,4
1764,0,Mr. Tommy Alexander,yes,1990.0,Non-Premium,Party,4874,4,4,3,5,3,3,3,3,4,2,4,4,2,3
1765,0,Ms. Stacie Dougherty,yes,1960.0,Non-Premium,Party,3576,1,5,1,3,1,1,1,5,2,2,1,1,5,1
1766,1,Mr. Eric Cowan,yes,1970.0,Premium,Party,5109,5,4,4,4,5,5,5,5,5,1,1,3,1,5
1767,0,Ms. Chloe Patel,yes,1978.0,Premium,Party,4400,2,5,5,5,5,3,3,2,2,2,2,4,2,1
1768,1,Ms. Heather Vance,yes,1961.0,Premium,Strategy,1589,5,5,5,5,5,4,4,5,2,5,4,4,5,4
1769,0,Mr. Christopher Coleman,yes,1947.0,Premium,Strategy,3642,1,5,5,5,4,1,2,1,1,1,1,3,1,1
1770,1,Ms. Leslie Matthews,yes,1977.0,Premium,Strategy,6256,3,4,3,3,3,4,5,3,3,3,3,3,3,5
1771,1,Ms. Heather Parks,yes,1978.0,Premium,Strategy,4826,5,2,5,5,3,4,5,3,3,3,3,5,3,4
1772,1,Ms. Shannon Meza,yes,1995.0,Premium,Strategy,2333,3,3,3,3,5,5,5,5,3,4,3,1,3,5
1773,0,Ms. Crystal Jordan,no,1994.0,Premium,Party,5100,2,3,1,3,4,1,4,4,1,5,2,2,2,4
1774,0,Ms. Joanne Gonzales,no,1997.0,Premium,Party,5855,3,0,3,1,4,3,1,4,3,5,4,3,4,4
1775,1,Ms. Janet Reed,yes,1980.0,Non-Premium,Party,4774,5,4,4,4,5,5,3,5,3,1,4,1,2,5
1776,1,Ms. Susan Shaw,yes,1983.0,Premium,Strategy,6351,2,2,2,2,2,4,4,5,5,5,5,3,5,5
1777,1,Ms. Bridget Quinn,yes,1973.0,Premium,Strategy,5180,3,3,3,3,4,4,1,4,4,4,4,5,4,5
1778,0,Mr. John Reid,no,1980.0,Premium,Party,5333,2,0,2,3,5,2,5,5,5,5,2,1,5,5
1779,0,Ms. Mary Parrish,no,1999.0,Premium,Party,4843,1,1,1,1,2,1,2,2,3,4,5,5,5,2
1780,0,Ms. Joan Sosa,no,1993.0,Premium,Strategy,5245,3,3,3,4,2,3,2,2,4,2,5,4,4,2
1781,0,Mr. Tyler Cervantes,yes,2001.0,Premium,Strategy,2285,3,1,4,1,3,3,3,3,3,1,4,3,4,3
1782,1,Mr. Dylan Gonzalez,yes,2003.0,Premium,Strategy,2386,5,5,5,5,5,5,5,5,4,3,1,4,5,5
1783,0,Mr. Alexander Henry,no,1981.0,Premium,Strategy,5493,3,2,2,1,3,2,3,3,3,4,4,3,5,3
1784,1,Ms. Erica Mcgee,y,1964.0,Premium,Strategy,5383,0,0,0,3,4,5,4,4,4,4,4,3,4,4
1785,1,Mr. Hayden Kane,yes,1971.0,Non-Premium,Party,5215,5,2,5,4,5,5,5,5,3,2,2,1,3,5
1786,1,Mr. Gerald Gomez,yes,1974.0,Premium,Strategy,4175,2,2,2,2,5,4,5,5,5,5,5,3,5,4
1787,0,Ms. Lisa Williams,yes,1982.0,Premium,Thematic,5522,3,2,2,2,3,3,3,3,1,3,2,3,2,3
1788,0,Ms. Christina Jones,no,1999.0,Premium,Party,5711,3,5,2,1,3,2,3,3,5,2,5,5,4,3
1789,1,Ms. Patricia Schultz,yes,1958.0,Non-Premium,Strategy,6936,2,2,2,2,2,4,4,3,3,4,3,3,3,4
1790,0,Ms. Mrs. Krista Garcia,no,1984.0,Premium,Party,5983,2,1,2,4,1,2,1,1,1,5,3,3,3,1
1791,0,Mr. Michael Santos,yes,1988.0,Premium,Strategy,3287,1,4,4,4,1,1,1,1,3,3,4,4,3,1
1792,1,Ms. Christina Young,yes,1979.0,Premium,Strategy,3227,1,1,1,1,5,4,4,3,3,3,3,4,3,3
1793,0,Ms. Shannon Vaughn,no,1998.0,Premium,Strategy,5805,1,3,1,3,5,1,5,5,1,5,4,3,4,5
1794,0,Ms. Samantha Roberts,yes,1990.0,Premium,Strategy,3993,1,3,3,3,1,1,1,1,4,3,2,2,2,1
1795,1,Ms. Sandra Morris,yes,1994.0,Premium,Strategy,2498,3,3,3,3,4,4,4,4,3,5,2,5,4,4
1796,1,Ms. Tabitha Woods,yes,1971.0,Non-Premium,Strategy,6625,1,1,1,1,2,5,5,2,2,2,2,4,2,3
1797,1,Mr. Scott Solis,yes,1981.0,Premium,Strategy,5964,1,1,1,1,2,4,2,3,3,3,3,4,3,4
1798,1,Ms. Jennifer Hernandez,yes,1965.0,Premium,Strategy,6396,1,1,1,1,5,5,4,4,4,4,4,4,4,4
1799,0,Mr. Matthew Mack,no,1962.0,Premium,Party,4904,2,2,2,4,2,2,2,1,5,4,3,2,4,2
1800,0,Mr. Michael Adams,yes,1996.0,Premium,Thematic,4291,3,5,5,5,3,2,1,3,3,3,3,1,4,3
1801,0,Ms. Morgan Sanchez,yes,1965.0,Non-Premium,Party,6280,4,5,5,3,5,4,4,2,2,5,2,5,2,3
1802,0,Mr. Robert Jones,yes,1990.0,Non-Premium,Thematic,5376,3,1,3,3,4,3,4,4,4,5,3,3,4,4
1803,0,Ms. Cynthia Perez,no,1995.0,Premium,Thematic,5213,3,3,3,5,3,3,3,3,4,4,3,5,4,3
1804,1,Ms. Lisa Avila,yes,1965.0,Premium,Strategy,4424,1,1,2,1,2,4,4,4,4,4,4,3,4,4
1805,1,Mr. James Brown,yes,1991.0,Premium,Party,5701,4,3,3,3,4,4,4,4,4,1,1,5,4,4
1806,0,Ms. Gina Davis,yes,1988.0,Premium,Strategy,3490,2,5,5,5,3,4,4,2,2,2,2,4,2,4
1807,1,Ms. Colleen Peters,yes,1972.0,Non-Premium,Party,6433,4,4,4,3,4,3,4,5,5,4,5,1,5,4
1808,1,Ms. Shelby Sawyer,yes,1963.0,Non-Premium,Party,5078,4,5,5,5,1,2,1,4,4,4,4,3,4,3
1809,1,Ms. Nicole Norris,yes,1981.0,Premium,Strategy,6047,4,4,4,4,4,5,4,5,5,5,5,5,5,4
1810,0,Ms. Sarah Smith MD,yes,1976.0,Premium,Thematic,6799,3,5,4,5,3,4,3,3,3,3,3,1,3,3
1811,1,Ms. Monica Jones,yes,1984.0,Non-Premium,Party,5760,4,4,4,4,5,3,5,2,2,2,2,5,2,5
1812,0,Ms. Ann Tran,no,1996.0,Premium,Strategy,5214,3,0,2,4,3,2,3,3,4,5,4,3,4,3
1813,1,Ms. Tina Smith,no,1996.0,Premium,Party,5589,0,0,0,4,2,0,2,2,4,4,2,3,5,2
1814,0,Ms. Ebony Clark,yes,1977.0,Non-Premium,Party,2961,2,3,3,4,3,1,1,1,4,3,1,1,3,1
1815,1,Mr. William King,yes,1962.0,Premium,Strategy,5785,4,4,4,4,5,5,5,2,2,2,2,5,2,3
1816,0,Ms. Amy Miller,no,1987.0,Premium,Strategy,5478,4,4,4,3,1,4,1,1,3,2,4,4,5,1
1817,0,Mr. Matthew Nguyen,yes,1954.0,Non-Premium,Strategy,6146,1,3,1,4,3,4,3,1,1,1,3,2,1,4
1818,0,Mr. William Lozano,yes,2001.0,Non-Premium,Party,3187,1,2,1,2,3,1,3,3,2,2,2,1,1,3
1819,0,Ms. Erika Stokes,no,1997.0,Premium,Party,5302,3,1,2,3,4,2,4,4,1,5,2,4,3,4
1820,0,Ms. Amy Miller,yes,1988.0,Premium,Thematic,4709,1,5,4,4,1,2,1,1,3,1,3,3,4,1
1821,1,Ms. Sandra Mclaughlin,yes,1980.0,Premium,Strategy,4540,3,3,3,3,5,4,5,4,4,4,4,3,4,4
1822,0,Mr. Jerry Nelson,yes,2014.0,Non-Premium,Thematic,4387,3,5,3,4,2,3,4,2,3,5,4,5,5,2
1823,0,Mr. Eric Sampson,yes,1987.0,Premium,Thematic,5335,3,3,2,3,3,2,3,3,2,4,2,1,3,3
1824,0,Mr. Alan Evans,yes,1977.0,Non-Premium,Thematic,5643,2,5,0,4,4,0,4,4,4,2,5,5,4,4
1825,1,Ms. Kristen Wade,yes,1971.0,Non-Premium,Party,6560,5,4,5,3,5,5,5,5,2,2,4,1,3,5
1826,0,Mr. Rick Howard,yes,1963.0,Premium,Party,3636,2,3,1,1,2,2,2,2,1,2,3,3,2,2
1827,0,Mr. Phillip Edwards,no,1979.0,Premium,Strategy,5360,3,3,3,3,4,3,3,4,5,4,5,4,4,4
1828,1,Ms. Linda Estrada,yes,2004.0,Non-Premium,Party,4763,5,5,5,5,3,5,4,4,4,4,4,5,4,3
1829,0,Ms. Sara Yates,yes,1974.0,Non-Premium,Thematic,5299,4,4,5,2,3,2,4,2,2,5,2,2,2,5
1830,1,Ms. Rachel Underwood,yes,1981.0,Non-Premium,Party,5504,4,4,1,4,4,4,4,4,4,5,5,5,4,4
1831,0,Mr. Patrick Scott,yes,1990.0,Non-Premium,Party,5286,1,3,1,3,4,1,1,4,3,3,3,3,3,4
1832,1,Mr. Michael Robinson,yes,1969.0,Premium,Strategy,1694,4,4,4,4,2,2,2,5,3,4,4,2,3,2
1833,1,Mr. Michael Tucker,yes,1986.0,Premium,Strategy,4768,5,5,5,5,2,2,4,3,3,3,3,4,3,4
1834,1,Ms. Alyssa Stephens,yes,1964.0,Premium,Party,6562,5,3,3,3,4,1,2,5,5,5,5,3,5,5
1835,0,Ms. Kristina Young,no,1998.0,Premium,Party,5501,2,0,2,4,1,2,1,1,3,5,4,4,5,1
1836,1,Ms. Bethany Moore,yes,1968.0,Premium,Strategy,5347,5,5,5,5,5,1,1,5,5,5,5,3,5,2
1837,1,Mr. Shawn Moon,yes,1963.0,Premium,Strategy,5425,3,4,3,3,3,5,4,5,5,5,5,4,5,4
1838,0,Mr. Nicholas Mcbride,yes,1994.0,Non-Premium,Party,5153,1,4,2,5,4,2,4,4,4,4,4,4,4,4
1839,0,Mr. Gilbert Gates,yes,1985.0,Non-Premium,Party,4138,3,5,3,3,5,3,2,5,5,3,5,5,5,5
1840,1,Ms. Shannon Johnson,yes,1974.0,Premium,Strategy,6938,2,2,2,2,5,5,5,4,4,4,4,5,4,3
1841,0,Mr. Nicholas Hart,yes,2003.0,Non-Premium,Party,4937,3,4,3,2,3,3,3,3,4,4,5,4,5,3
1842,0,Ms. Desiree Day,yes,1985.0,Premium,Strategy,6727,2,1,4,1,5,4,3,2,2,2,2,3,2,4
1843,1,Ms. Rebekah Houston,no,1996.0,Premium,Strategy,5119,4,0,4,3,1,4,1,1,3,2,5,4,5,1
1844,0,Mr. David Benjamin,no,2010.0,Premium,Party,4825,1,1,1,3,1,1,1,1,4,3,4,2,1,1
1845,0,Ms. Ashley Hughes,no,1985.0,Premium,Strategy,5343,3,3,3,3,2,3,5,2,3,1,2,4,2,2
1846,0,Mr. John Anderson,no,1977.0,Premium,Party,5453,3,2,3,3,4,3,4,4,4,3,3,1,3,4
1847,1,Mr. Alexander Clark,yes,1968.0,Premium,Strategy,5111,0,0,0,3,1,1,1,5,3,5,4,1,5,1
1848,1,Mr. Joseph Vaughn,yes,1985.0,Premium,Strategy,6381,3,3,3,3,5,4,5,4,4,4,4,3,4,5
1849,0,Mr. Adrian Bailey,no,1959.0,Premium,Party,4756,3,3,3,2,1,3,1,1,3,1,5,2,5,1
1850,1,Ms. Tina Valdez,yes,1974.0,Premium,Strategy,6675,1,1,1,1,3,4,5,5,5,4,5,5,5,5
1851,0,Ms. Tammy Finley,yes,1958.0,Premium,Strategy,6762,4,4,4,4,5,4,4,3,3,3,4,3,3,4
1852,0,Ms. Kimberly Baker,no,1993.0,Premium,Strategy,3236,2,2,2,1,5,2,5,5,3,2,5,5,4,5
1853,1,Ms. Karla Harris,yes,1957.0,Non-Premium,Party,5899,4,4,4,4,2,5,5,4,4,4,4,5,4,5
1854,1,Ms. Monica Sanchez,yes,1960.0,Non-Premium,Party,5413,5,5,5,5,4,5,4,5,5,5,5,5,5,3
1855,0,Mr. Jason Sims,yes,1973.0,Premium,Party,5622,2,3,3,3,2,2,2,2,1,2,3,4,3,2
1856,0,Ms. Rachel Pacheco,no,1994.0,Premium,Party,5682,4,3,4,3,5,4,1,5,3,2,4,4,4,5
1857,0,Ms. Tracy Stokes,yes,1991.0,Premium,Strategy,3918,3,4,4,4,3,3,3,3,4,1,3,4,3,3
1858,0,Mr. Michael Moore,yes,1997.0,Non-Premium,Party,5307,1,5,1,2,5,1,5,5,3,3,2,4,1,5
1859,0,Mr. Michael Diaz,yes,2012.0,Non-Premium,Party,4798,1,4,1,3,2,1,5,2,2,1,4,2,3,2
1860,0,Ms. Sarah Ramos,no,1981.0,Premium,Strategy,4622,4,4,4,5,5,4,1,5,5,5,5,3,5,5
1861,1,Mr. Roy Holt,yes,1964.0,Premium,Strategy,4425,5,5,5,5,3,5,5,5,5,5,5,5,5,3
1862,1,Mr. Daniel Dickerson,yes,1987.0,Premium,Strategy,4317,2,2,2,2,4,5,4,5,5,5,5,5,5,3
1863,1,Mr. Brian Wheeler,yes,1981.0,Premium,Strategy,3955,2,2,2,2,5,4,4,4,4,4,4,5,4,3
1864,0,Ms. Taylor Wood,no,1992.0,Premium,Strategy,4998,3,3,3,4,2,3,2,2,4,4,5,5,4,2
1865,0,Ms. Shannon Montgomery,no,2006.0,Premium,Party,5868,3,2,2,2,2,2,4,2,3,5,3,3,3,2
1866,1,Ms. Dana Lang,yes,1981.0,Premium,Strategy,5312,5,5,5,5,3,5,4,4,4,4,4,5,4,3
1867,0,Mr. Joseph Mccoy,yes,1952.0,Non-Premium,Party,5582,2,2,3,3,3,3,3,3,3,4,3,3,3,3
1868,1,Ms. Claudia Howard,yes,1952.0,Non-Premium,Party,6325,2,2,2,2,2,3,1,5,5,5,5,3,5,4
1869,1,Ms. Kimberly Hahn,yes,1969.0,Premium,Strategy,5037,4,4,4,4,4,5,5,5,5,5,5,3,5,4
1870,1,Mr. Tyler Stevens,yes,1983.0,Premium,Strategy,6199,1,1,1,1,4,2,4,5,5,4,5,4,5,3
1871,1,Mr. Kristopher Castro,yes,1968.0,Non-Premium,Strategy,6397,4,4,4,5,5,2,4,4,4,4,4,4,4,3
1872,1,Ms. Ashley Jacobson,yes,1981.0,Non-Premium,Party,3331,4,3,3,3,4,4,4,4,4,4,4,5,1,4
1873,0,Ms. Megan Thomas,no,1996.0,Premium,Strategy,4983,1,4,2,1,5,2,5,5,4,4,5,4,4,5
1874,1,Ms. Jennifer Henderson,yes,1999.0,Premium,Strategy,2277,5,5,5,5,4,4,4,4,1,4,3,3,5,4
1875,0,Ms. Hannah Johnson,yes,1976.0,Non-Premium,Party,6303,3,5,3,4,3,5,1,4,4,3,4,1,4,3
1876,0,Mr. Joshua Moore,yes,1975.0,Non-Premium,Party,4343,1,5,1,4,5,1,4,5,3,3,4,5,5,5
1877,0,Mr. Nathan Mitchell,yes,1951.0,Premium,Party,4153,2,1,1,1,2,2,2,2,2,5,3,2,3,2
1878,0,Ms. Leah Mueller,no,1987.0,Premium,Thematic,4832,2,3,3,3,3,3,3,3,3,2,4,1,3,3
1879,1,Mr. Henry Webster,yes,1982.0,Premium,Strategy,4283,2,2,2,2,5,5,5,4,4,4,4,3,4,5
1880,0,Mr. Ronald Sullivan,yes,2000.0,Non-Premium,Party,5441,2,3,2,1,3,2,3,3,1,3,1,5,3,3
1881,0,Mr. Eugene Maynard,yes,1977.0,Non-Premium,Party,5711,1,3,1,3,5,1,5,5,1,1,4,2,3,5
1882,0,Ms. Zoe Scott,no,1991.0,Premium,Party,4912,2,5,3,4,1,3,1,1,3,5,3,1,2,1
1883,1,Ms. Peggy Banks,yes,1971.0,Premium,Strategy,6918,4,5,4,4,3,5,5,5,5,4,4,3,5,3
1884,1,Ms. Angela Gordon,yes,1989.0,Non-Premium,Thematic,2635,3,3,3,3,2,3,4,4,4,5,4,4,4,5
1885,1,Ms. Hannah Owen,yes,1951.0,Non-Premium,Party,6045,2,2,2,2,3,5,4,4,4,4,5,4,4,4
1886,0,Ms. Traci Hughes,yes,1951.0,Non-Premium,Thematic,5547,4,3,4,2,1,5,4,4,4,4,4,5,4,4
1887,1,Ms. Mrs. Ashley Hill MD,yes,1958.0,Non-Premium,Party,6162,4,4,4,4,2,5,5,5,5,5,5,3,5,5
1888,1,Ms. Megan Cooper,yes,1996.0,Non-Premium,Party,5032,5,1,5,4,5,5,4,5,4,4,3,1,4,5
1889,1,Ms. Stephanie Castaneda,yes,1975.0,Premium,Strategy,6721,3,5,3,3,5,4,4,5,5,5,5,5,5,5
1890,1,Mr. Matthew Frye,yes,1963.0,Premium,Strategy,4738,2,2,2,2,3,4,5,4,4,4,4,3,4,4
1891,1,Ms. Courtney Stone,y,1969.0,Premium,Strategy,3280,5,5,3,5,2,4,5,4,4,4,4,4,4,5
1892,0,Mr. Logan Johnson,yes,2012.0,Non-Premium,Party,4938,4,5,0,4,4,0,4,4,3,3,4,4,5,4
1893,1,Ms. Debra Jimenez,yes,1992.0,Non-Premium,Party,5332,4,1,1,1,3,5,3,4,4,4,4,4,4,5
1894,1,Mr. Thomas Smith,yes,1990.0,Premium,Strategy,1634,2,2,2,2,5,5,5,5,4,4,5,3,5,5
1895,1,Mr. Brian Torres,yes,1964.0,Premium,Strategy,6123,4,4,4,4,5,5,4,5,5,4,5,5,5,4
1896,1,Ms. Cheryl Harrison,y,1998.0,Non-Premium,Party,4968,2,2,2,2,5,5,5,4,4,4,4,5,4,4
1897,0,Mr. Kevin Robbins,no,1987.0,Premium,Party,5721,2,4,2,5,3,2,3,3,4,4,4,3,4,3
1898,0,Ms. Cynthia Newman,yes,1967.0,Premium,Strategy,4309,2,4,3,4,2,3,4,2,2,2,2,4,2,4
1899,1,Mr. Jason Lee,yes,1966.0,Premium,Strategy,5206,4,4,4,4,4,4,5,4,4,4,4,5,4,4
1900,0,Mr. William Cunningham,yes,1959.0,Premium,Party,5272,1,1,1,1,1,1,1,1,1,5,3,3,4,1
1901,1,Mr. Robert Thompson,yes,1970.0,Premium,Strategy,5005,5,5,5,5,5,5,5,4,4,4,4,4,4,4
1902,0,Mr. Nathan Bradley,yes,1987.0,Premium,Strategy,4372,1,5,3,5,4,1,1,1,1,1,1,2,1,1
1903,1,Mr. Brian Price,yes,1986.0,Premium,Strategy,4601,4,4,4,4,2,5,4,4,4,4,4,3,4,4
1904,0,Mr. Justin Mercer,yes,1978.0,Non-Premium,Party,4846,3,5,4,2,1,4,1,1,4,2,5,3,4,1
1905,0,Mr. Francisco Owen,yes,1958.0,Non-Premium,Party,5452,3,5,3,1,1,3,1,1,4,4,4,5,5,1
1906,1,Ms. Maria Ramos,yes,1967.0,Premium,Strategy,3636,1,1,1,1,3,5,5,5,5,4,5,4,5,4
1907,0,Ms. Jennifer Donovan DVM,no,1998.0,Premium,Party,5090,2,4,2,5,2,2,2,2,3,4,4,5,5,2
1908,1,Ms. Judith White,yes,1962.0,Premium,Party,5943,4,4,3,3,5,4,3,4,4,4,4,2,4,1
1909,0,Mr. Andrew Christensen,yes,1955.0,Non-Premium,Party,5458,2,4,2,2,5,2,4,5,3,5,5,5,4,5
1910,1,Ms. Mary Cisneros,yes,1960.0,Premium,Strategy,6593,4,4,4,4,4,5,4,4,4,4,4,5,4,5
1911,1,Ms. Heather Powers,yes,1972.0,Premium,Strategy,4214,1,1,1,1,3,3,1,4,4,4,4,3,4,3
1912,1,Ms. Donna Anderson,yes,2000.0,Premium,Strategy,5214,3,3,3,3,2,2,2,2,1,3,4,1,2,2
1913,1,Mr. Thomas Baker,yes,1984.0,Premium,Strategy,6678,3,3,3,3,4,4,5,4,4,4,4,3,4,3
1914,1,Ms. Michelle Phillips,yes,1973.0,Premium,Strategy,6762,2,2,2,2,4,5,4,4,4,4,5,3,4,4
1915,0,Ms. Tiffany Miller,no,1998.0,Premium,Party,4279,4,4,4,3,3,4,3,3,3,2,3,1,4,3
1916,0,Mr. Donald Ramsey,yes,1976.0,Non-Premium,Party,3737,2,5,2,4,2,2,2,2,1,5,5,3,3,2
1917,1,Ms. Patricia Moss,yes,1985.0,Premium,Thematic,6009,5,5,4,4,5,5,5,5,2,2,4,5,4,5
1918,1,Ms. Vanessa Rice,yes,1975.0,Premium,Strategy,1873,2,2,2,2,5,5,5,3,3,4,4,5,4,5
1919,1,Ms. Rita Harris,yes,1983.0,Premium,Strategy,3908,4,4,4,4,2,2,1,4,4,4,4,4,4,2
1920,1,Ms. Heidi Yang,yes,1995.0,Non-Premium,Party,4961,1,1,1,1,4,4,4,4,3,3,4,4,4,4
1921,1,Ms. Karen Fritz,yes,1959.0,Premium,Party,6780,4,5,5,5,1,5,5,4,4,4,4,3,4,1
1922,0,Mr. Joseph Cantrell,yes,1969.0,Non-Premium,Party,4636,1,5,0,3,3,0,2,3,5,1,1,4,3,3
1923,0,Mr. Matthew Dennis,yes,1969.0,Non-Premium,Party,4825,1,1,1,2,5,1,5,5,1,1,2,2,2,5
1924,1,Mr. James Rivers,yes,1973.0,Premium,Strategy,3491,2,2,2,2,3,5,4,5,5,5,5,5,5,5
1925,0,Ms. Sarah White,yes,1982.0,Premium,Strategy,3497,3,1,1,1,3,4,4,3,3,3,3,1,3,4
1926,1,Mr. Stanley Savage,yes,1974.0,Premium,Strategy,4335,5,5,5,5,5,5,4,4,4,4,4,5,4,5
1927,1,Ms. Brittany Jenkins,no,1999.0,Premium,Party,3987,4,4,4,3,2,4,2,2,4,4,4,4,4,2
1928,1,Mr. David Hunter,yes,1993.0,Premium,Strategy,3585,2,2,2,2,5,4,5,5,3,5,4,3,5,5
1929,0,Mr. Corey Richards,yes,1956.0,Non-Premium,Party,5090,1,5,1,2,3,1,3,3,3,2,5,1,1,3
1930,1,Ms. Joan Rios,yes,2001.0,Non-Premium,Party,5396,1,1,1,1,3,3,4,4,4,4,4,3,4,4
1931,0,Ms. Sarah Thompson,yes,1970.0,Premium,Party,6691,2,1,4,1,4,2,1,2,2,2,2,1,2,3
1932,1,Mr. Justin Perez,yes,1966.0,Premium,Strategy,4886,1,1,2,1,2,5,4,4,4,4,4,4,4,5
1933,1,Mr. Ryan George,no,1996.0,Premium,Strategy,4299,4,4,4,2,2,4,2,2,4,5,4,3,4,2
1934,1,Ms. Debra Mathis,yes,1972.0,Premium,Strategy,4392,1,1,1,1,2,4,4,3,3,3,3,4,3,3
1935,1,Ms. Mary Anderson,yes,1975.0,Premium,Strategy,4674,5,5,5,5,4,5,4,4,4,4,4,4,4,5
1936,1,Ms. Karen Robertson,yes,1965.0,Premium,Strategy,4840,4,4,4,4,5,4,5,3,3,3,3,5,3,4
1937,1,Ms. Melissa Cole,yes,1985.0,Non-Premium,Party,4562,1,1,1,1,3,3,4,4,4,4,4,5,4,5
1938,0,Mr. Michael Simpson,yes,2003.0,Non-Premium,Party,5758,4,5,4,2,4,4,3,4,3,5,5,5,5,4
1939,0,Mr. Justin Porter,yes,1956.0,Premium,Thematic,5360,4,2,2,2,4,4,4,4,4,1,3,4,4,4
1940,1,Mr. Aaron Campbell,yes,1996.0,Premium,Strategy,5105,5,5,5,5,4,4,4,4,3,5,5,3,4,4
1941,1,Ms. Julie Velazquez,yes,1981.0,Premium,Strategy,4578,2,2,2,2,3,5,5,4,4,4,4,3,4,3
1942,0,Ms. Nicole Burch,yes,1990.0,Non-Premium,Party,5037,3,4,3,1,3,1,1,5,5,4,4,1,3,1
1943,1,Mr. Thomas Dodson,yes,1963.0,Premium,Strategy,6545,3,3,3,3,4,4,4,5,5,5,5,4,5,5
1944,0,Mr. Jacob Dawson,yes,2014.0,Non-Premium,Party,4774,1,1,1,3,1,1,2,1,2,3,2,4,3,1
1945,1,Ms. Amy Williams,no,1997.0,Premium,Strategy,5280,5,4,5,2,5,5,5,5,4,4,4,5,4,5
1946,0,Mr. John West,yes,1969.0,Premium,Strategy,3676,3,4,4,4,3,3,3,3,3,3,3,4,3,2
1947,1,Ms. Brandi Miller,yes,1977.0,Premium,Party,6512,2,5,5,5,3,4,1,2,2,2,2,4,2,4
1948,0,Ms. Courtney Fox,y,1970.0,Premium,Thematic,6481,3,1,1,1,3,2,2,3,3,3,3,4,3,3
1949,1,Ms. Mrs. Frances Smith MD,yes,1968.0,Premium,Strategy,5816,5,5,5,5,3,5,4,4,4,4,4,4,4,5
1950,1,Mr. Kirk Hull,no,1994.0,Premium,Strategy,5546,5,5,5,2,2,0,2,2,3,4,5,3,4,2
1951,0,Mr. Scott Bell,yes,1982.0,Premium,Party,3874,1,1,1,1,1,1,1,1,2,3,2,2,2,1
1952,0,Mr. Timothy Jones,yes,1989.0,Premium,Thematic,5566,1,5,5,5,1,1,1,1,4,2,4,2,3,1
1953,1,Ms. Beverly Sanchez,yes,1974.0,Non-Premium,Party,6556,4,2,4,3,4,4,4,4,4,4,4,2,4,4
1954,0,Ms. Victoria Shelton,yes,1967.0,Premium,Strategy,6739,2,3,3,3,2,3,3,2,2,2,2,3,2,3
1955,0,Ms. Melissa Alvarez,yes,2002.0,Non-Premium,Party,4085,3,5,3,4,4,3,4,4,3,4,5,4,4,4
1956,1,Ms. Kristen Woods,yes,2014.0,Non-Premium,Party,4837,1,1,1,1,2,4,5,4,4,4,4,4,4,3
1957,1,Mr. Adrian Lyons,yes,1982.0,Premium,Strategy,6632,2,2,5,2,4,2,4,4,4,4,5,2,4,1
1958,1,Mr. Edward Flores,y,1949.0,Premium,Strategy,6337,4,4,4,4,4,5,5,4,4,4,4,5,4,3
1959,1,Ms. Kayla Heath,yes,1994.0,Non-Premium,Party,4938,3,3,3,3,3,5,4,5,5,5,5,3,5,5
1960,0,Mr. Travis Munoz,yes,1980.0,Non-Premium,Party,5239,3,4,3,3,2,3,2,2,5,4,5,5,5,2
